subject,number,avg_gpa,sum_students,title
ARTD,302,3.343142857142857,35,Industrial Design IV
ARTD,301,2.882647058823529,34,Industrial Design III
MUS,199,3.922333333333333,30,Undergraduate Open Seminar
ARCH,411,3.0,30,Ancient Roman Architecture
ART,299,3.401,30,Thinking with Type
MUS,339,3.156,30,Princpls and Technqs in Mus Ed
LA,221,3.229655172413793,29,History of the Prison
DANC,160,2.966896551724137,29,Beg Contemp Modern Tech Core
UP,501,3.5989655172413793,29,Planning History and Theory
UP,503,3.896551724137931,29,Physical Planning
LA,250,2.7975,28,Environmental Site Analysis
LA,597,3.4875,28,Research Design & Methods
UP,211,3.564615384615384,26,"Local Planning, Gov't and Law"
UP,438,3.448846153846154,26,Disasters and Urban Planning
UP,116,3.50076923076923,26,Urban Informatics I
MUS,558,3.8808,25,Vocal Literature
THEA,400,3.8,25,Practicum II
ART,103,3.8544,25,Painting for Non-Majors
MUS,344,3.389166666666666,24,Tchng Secondary Inst Music
UP,456,3.722916666666666,24,Sustainable Planning Workshop
ARCH,595,3.63875,24,Spec Prob Struct Theory & Des
MUS,527,3.916666666666666,24,Classical Performance Practice
LA,427,3.139166666666666,24,Amer Vernacular Cultural Land
UP,406,3.055833333333333,24,Urban Ecology
ARTD,222,3.5934782608695652,23,Typographic Practice
ARTD,371,3.75391304347826,23,Graphic Design Practicum
UP,136,3.507391304347826,23,Fndtns Urban Sustainability
UP,405,3.377391304347826,23,Watershed Ecology and Planning
LA,342,2.88304347826087,23,Site Engineering
DANC,150,3.8117391304347823,23,Orientation to Dance
ARTD,270,3.833636363636364,22,Design Methods
MUS,526,3.894090909090909,22,Baroque Performance Practice
ARTD,215,3.515454545454545,22,Introduction to Typography
UP,423,3.682272727272727,22,Cmnty Dev in the Global South
ARTD,418,3.197727272727272,22,Digital Interaction Sandbox
MUS,528,3.713181818181818,22,Res & Bibliography in Music
ARTD,499,2.848636363636363,22,Sustainable Life Cycle Design
MUS,348,3.954545454545454,22,Choral Literature
MUS,320,3.8409523809523813,21,Pre-Student Tchng Experience
DANC,166,3.668095238095238,21,Beginning Ballet Tech Core
ARCH,407,3.3338095238095242,21,Rome: The Eternal City
DANC,363,3.952380952380952,21,Advanced Improvisation
DANC,260,3.365238095238095,21,Int Contemp Modern Tech Core
UP,494,3.888571428571428,21,Active Transp. Workshop
UP,345,3.491428571428571,21,Economic Development Planning
MUS,400,3.682380952380952,21,Counterpoint and Fugue
