subject,number,avg_gpa,sum_students,title
ECE,464,2.9879687500000003,192,Power Electronics
ENG,466,3.626526315789473,190,High-Tech Venture Marketing
MSE,308,3.301336898395722,187,Materials Laboratory II
CS,598,3.79,187,Advanced Information Retrieval
CEE,462,3.469677419354838,186,Steel Structures II
MSE,307,3.238108108108108,185,Materials Laboratory I
GE,100,3.856378378378378,185,Introduction to ISE
MSE,182,3.363043478260869,184,Introduction to MatSE
CS,492,3.310601092896174,183,Senior Project I
MSE,450,3.208715083798883,179,Polymer Science & Engineering
ECE,350,3.067640449438202,178,Fields and Waves II
CS,493,3.589887005649717,177,"Senior Project II, ACP"
ECE,444,3.373522727272727,176,IC Device Theory & Fabrication
AE,461,3.737329545454545,176,Structures & Control Lab
MSE,405,3.174476744186046,172,Microstructure Determination
CS,466,3.420581395348837,172,Introduction to Bioinformatics
AE,443,3.7120467836257323,171,Aerospace Systems Design II
CS,429,3.443058823529411,170,"Software Engineering II, ACP"
CEE,570,3.204294117647058,170,Finite Element Methods
ECE,549,3.872705882352941,170,Computer Vision
MSE,470,3.4258823529411773,170,Design and Use of Biomaterials
CEE,350,3.457514792899408,169,Water Resources Engineering
IE,430,3.0852976190476182,168,Economic Found of Quality Syst
ENG,333,3.510297619047619,168,"Creativity, Innovation, Vision"
CEE,472,3.542168674698795,166,Structural Dynamics I
CEE,437,3.292969696969697,165,Water Quality Engineering
IE,413,2.898848484848484,165,Simulation
BIOE,302,3.418136645962733,161,Modeling Human Physiology
CEE,465,3.238385093167701,161,Design of Structural Systems
CEE,424,3.43775,160,Sustainable Const Methods
IE,410,2.75796178343949,157,Stochastic Processes & Applic
NPRE,475,3.821999999999999,155,Wind Power Systems
ECE,470,2.976428571428571,154,Introduction to Robotics
CEE,491,3.409740259740259,154,Decision and Risk Analysis
ECE,402,3.435430463576159,151,Electronic Music Synthesis
ME,350,3.027297297297297,148,Design for Manufacturability
BIOE,206,3.202702702702702,148,Cellular Bioengineering
BIOE,201,3.742397260273973,146,Conservation Principles Bioeng
GE,310,3.273541666666666,144,General Engineering Design
CEE,463,3.463333333333333,144,Reinforced Concrete II
ECE,534,3.557132867132867,143,Random Processes
GE,320,3.033642857142857,140,Control Systems
CEE,471,3.05546762589928,139,Structural Mechanics
BIOE,120,3.763623188405798,138,Introduction to Bioengineering
CS,525,3.689558823529411,136,Advanced Distributed Systems
IE,420,3.101481481481482,135,Financial Engineering
AE,402,3.45274074074074,135,Orbital Mechanics
BIOE,303,3.840223880597015,134,Quantitative Physiology Lab
CEE,598,3.719999999999999,132,Post-tensioned Concrete Struct
BIOE,476,3.620075757575757,132,Tissue Engineering
ECE,498,3.394242424242425,132,Smartphone Computing & Appl.
ENG,460,3.936818181818182,132,Entrepreneurship for Engineers
NPRE,101,2.953846153846154,130,Introduction to Energy Sources
ECE,398,3.599767441860464,129,Innovation and Eng. Design
CS,512,3.820859374999999,128,Data Mining Principles
BIOE,202,3.291953124999999,128,Cell & Tissue Engineering Lab
IE,330,3.309921259842519,127,Industrial Quality Control
TAM,541,3.550555555555555,126,Mathematical Methods I
CEE,525,3.720079365079365,126,Construction Case Studies
GE,450,3.386799999999999,125,Decision Analysis I
GE,424,3.195359999999999,125,State Space Design for Control
IE,523,3.592258064516129,124,Financial Computing
IE,522,3.474796747967479,123,Statistical Methods in Finance
AE,433,3.19260162601626,123,Aerospace Propulsion
IE,526,3.631147540983606,122,Stochastic Calculus in Finance
IE,525,3.488999999999999,120,Numerical Methods in Finance
BIOE,205,3.2555,120,Signals & Systems in Bioengrg
CEE,340,3.366974789915966,119,Energy and Global Environment
ECE,453,3.23771186440678,118,Wireless Communication Systems
ECE,431,3.148119658119659,117,Electric Machinery
ECE,462,3.279658119658119,117,Logic Synthesis
ECE,483,3.281140350877193,114,Analog IC Design
GE,361,3.561929824561404,114,Emotional Intelligence Skills
NPRE,247,2.723839285714285,112,Modeling Nuclear Energy System
ME,487,3.333513513513513,111,MEMS-NEMS Theory & Fabrication
MSE,485,3.500454545454545,110,Atomic Scale Simulations
GE,311,3.128807339449541,109,Engineering Design Analysis
BIOE,498,3.715779816513761,109,Preclinical Molecular Imaging
GE,312,3.149816513761467,109,Instrumentation and Test Lab
MSE,396,3.883055555555555,108,Introduction to Research
ABE,224,3.709907407407407,108,ABE Principles: Soil & Water
ECE,476,3.163490566037735,106,Power System Analysis
ABE,436,3.358301886792453,106,Renewable Energy Systems
TAM,470,3.144528301886791,106,Computational Mechanics
IE,524,3.5729245283018862,106,Optimization in Finance
ECE,482,3.146380952380953,105,Digital IC Design
ECE,420,3.686442307692308,104,Embedded DSP Laboratory
ABE,223,3.5986407766990283,103,ABE Principles: Machine Syst
MSE,460,3.019705882352941,102,Electronic Materials I
BIOE,415,3.634,100,Biomedical Instrumentation Lab
CS,433,3.313434343434343,99,Computer System Organization
ME,400,3.414545454545454,99,Energy Conversion Systems
MSE,500,3.544489795918367,98,Statistical Thermodyn of Matls
BIOE,360,3.742448979591836,98,Transport & Flow in Bioengrg
TAM,412,3.020833333333333,96,Intermediate Dynamics
NPRE,199,3.7778125,96,Undergraduate Seminar
ECE,473,3.121979166666667,96,Fund of Engrg Acoustics
TAM,195,3.5629166666666663,96,Mechanics in the Modern World
CS,463,3.40625,96,Computer Security II
ABE,226,3.449157894736842,95,ABE Principles: Bioprocessing
BIOE,220,3.642210526315789,95,Bioenergetics
ECE,469,3.435894736842105,95,Power Electronics Laboratory
AE,416,3.053404255319149,94,Applied Aerodynamics
ABE,225,3.213369565217391,92,ABE Principles: Bioenvironment
NPRE,446,3.532934782608695,92,Radiation Interact w/Matter I
NPRE,431,2.688586956521739,92,Materials in Nuclear Engrg
MSE,457,3.434999999999999,92,Polymer Chemistry
BIOE,310,3.348152173913043,92,Comp Tools Bio Data
