subject,number,avg_gpa,sum_students,title
FSHN,345,3.7071084337349403,83,Hospitality Purchasing
ANSC,467,3.593536585365854,82,Applied Animal Ecology
ANSC,363,3.6254878048780492,82,Behavior of Domestic Animals
TSM,438,3.160493827160493,81,Renewable Energy Applications
TSM,422,3.468518518518518,81,Ag Health-Illnesses Prevention
FSHN,466,3.8102469135802473,81,Food Product Development
ACE,398,3.609382716049383,81,Food Marketing and Behavior
FSHN,416,3.51873417721519,79,Food Chemistry Laboratory
FSHN,322,3.858974358974359,78,Nutrition and the Life Cycle
CPSC,241,2.658461538461538,78,Intro to Applied Statistics
AGCM,220,3.521923076923076,78,Communicating Agriculture
ANSC,407,3.151232876712329,73,Animal Shelter Management
TSM,464,3.190138888888888,72,Engine and Tractor Power
ACE,440,3.176388888888889,72,Finan Plan for Professionals
NRES,474,3.220704225352112,71,Soil and Water Conservation
FSHN,480,3.3,70,Basic Toxicology
TSM,372,3.161285714285714,70,Environ Control & HVAC Systems
ACE,306,3.205285714285714,70,Food Law
HDFS,425,3.531884057971014,69,Critical Family Transitions
CPSC,352,3.343235294117647,68,Plant Genetics
CPSC,336,3.4798529411764703,68,Tomorrow's Environment
CPSC,270,3.044264705882352,68,Applied Entomology
AGED,300,3.845820895522388,67,Training and Development
FSHN,150,3.746268656716418,67,Introduction to Dietetics
HDFS,426,3.161818181818182,66,Family Conflict Management
FSHN,469,3.813030303030302,66,Package Engineering
ACE,199,3.838333333333333,66,Dev of Food and Ag Policy
AGED,360,3.66171875,64,Advanced Leadership Studies
ACE,448,3.275555555555555,63,Rural Real Estate Appraisal
AGED,340,3.503015873015873,63,Leadership Ethics & Pluralism
AGED,280,3.688387096774193,62,Training Needs Assessment
ACE,456,3.532096774193548,62,Agr and Food Policies
ACE,474,2.742096774193549,62,Econ of Consumption
ACE,432,3.847377049180327,61,Farm Management
CPSC,261,3.234918032786885,61,Biotechnology in Agriculture
NRES,488,3.050166666666667,60,Soil Fertility and Fertilizers
CPSC,498,3.9335,60,Crop Sci Professional Develpmt
CPSC,426,3.440677966101695,59,Weed Mgt in Agronomic Crops
CPSC,452,3.614827586206896,58,Advanced Plant Genetics
HDFS,408,3.719298245614035,57,Hospitalized Children
ANSC,398,3.9344642857142853,56,Undergraduate Research
TSM,232,2.8874999999999993,56,Materials and Construction Sys
FSHN,428,3.412545454545454,55,Community Nutrition
AGED,499,3.709272727272727,55,Begin Agri Teachers Seminar
NRES,407,3.018333333333334,54,Wildlife Population Ecology
CPSC,215,3.29,53,The Prairie and Bioenergy
ANSC,450,3.254901960784313,51,Comparative Immunobiology
FSHN,332,3.555686274509804,51,Science of Food Systems
NRES,419,3.131372549019608,51,Env and Plant Ecosystems
CPSC,453,3.4402,50,Principles of Plant Breeding
HDFS,208,3.946599999999999,50,Child Fam with Special Needs
CPSC,543,3.856530612244898,49,Appl. Multivariate Statistics
CPSC,431,3.201666666666667,48,Plants and Global Change
AGCM,430,3.549375,48,Comm in Env Social Movements
ANSC,110,3.6185416666666663,48,Life With Animals and Biotech
ANSC,445,3.944583333333334,48,Statistical Methods
ANSC,499,3.298541666666666,48,Dangerous Dogs & Breed Discrim
FSHN,442,3.7920833333333333,48,HM Skills and Applications
CPSC,414,3.763333333333333,48,Forage Crops & Pasture Ecology
ANSC,446,3.416458333333333,48,Population Genetics
TSM,363,3.695652173913043,46,Fluid Power Systems
FSHN,514,3.891086956521738,46,Advanced Food Chemistry
TSM,262,3.369565217391305,46,Off-Road Equipment Management
ACE,592,3.622222222222222,45,Law and Regulation
ANSC,370,3.393111111111111,45,Companion Animal Policy
CPSC,542,3.136818181818182,44,Applied Statistical Methods II
ANSC,309,3.6279069767441863,43,Meat Production and Marketing
ACE,562,3.736976744186046,43,Applied Regression Models I
NRES,420,2.8129268292682923,41,Restoration Ecology
FSHN,421,3.734,40,Pediatric Clinical Nutrition
FSHN,519,3.98325,40,Flavor Chemistry and Analysis
HORT,205,3.897435897435897,39,Local Food Networks
FSHN,398,3.395789473684211,38,Foundations in Beverage Mgmt
ANSC,201,3.828918918918918,37,Principles of Dairy Production
ACE,454,2.927837837837837,37,Econ Dev of Tropical Africa
ACE,447,3.721621621621621,37,Case Stud Agr Accy & Fin Plan
CPSC,419,3.823823529411764,34,Midwest Agricultural Practices
ACE,451,3.05030303030303,33,Agriculture in Intl Dev
NRES,429,3.166874999999999,32,Aquatic Ecosystem Conservation
ACE,564,3.721290322580645,31,Applied Regression Models II
NRES,426,3.6664516129032263,31,Renewable Energy Policy
FSHN,465,3.811333333333333,30,Principles of Food Technology
CPSC,466,3.4666666666666672,30,Genomics for Plant Improvement
FSHN,429,3.543999999999999,30,Nutrition Assessment & Therapy
FSHN,462,3.666666666666666,30,Food Processing II
FSHN,499,3.833333333333333,30,Ingredient Technology
ACE,445,2.862413793103448,29,Intermediate Personal Fin Plan
FSHN,464,3.8386206896551722,29,Beverage Science & Technology
CPSC,437,3.596896551724138,29,Principles of Agroecology
HDFS,420,3.751428571428571,28,Family Diversity in the U.S.
NRES,401,2.6307142857142862,28,Watershed Hydrology
ANSC,520,3.469999999999999,27,Protein and Energy Nutrition
TSM,352,3.63,27,Land and Water Mgt Systems
ACE,471,3.910769230769231,26,Consumer Economic Policy
ANSC,404,3.8588461538461543,26,Poultry Science
NRES,502,3.321153846153846,26,Research Methods in NRES
ACE,403,3.27,26,Agricultural Law
TSM,435,3.2932,25,Elec Computer Ctrl Sys
AGCM,315,3.7864,25,Emerging Media
AGCM,320,3.389166666666666,24,Public Information Campaigns
ANSC,322,3.112083333333334,24,Livestock Feeds and Feeding
TSM,381,3.403333333333333,24,Grain Drying & Storage Systems
ACE,563,3.6817391304347833,23,Math Program App Econ I
FSHN,125,3.7391304347826093,23,Intro to Human Nutrition
HORT,301,2.637826086956522,23,Woody Landscape Plants I
TSM,486,3.42,23,Grain Bioprocessing Coproducts
FSHN,443,3.652173913043478,23,Management of Fine Dining
AGCM,330,3.485909090909091,22,Environmental Communications
CPSC,565,3.833636363636364,22,Perl & UNIX for Bioinformatics
ANSC,444,3.879090909090909,22,Applied Animal Genetics
FSHN,140,3.409090909090909,22,Introduction to Hospitality
ANSC,403,3.6972727272727273,22,Pork Production
TSM,425,3.4854545454545462,22,Managing Ag Safety Risk
NRES,511,3.158571428571428,21,Principles of Applied Ecology
NRES,472,3.492857142857143,21,Environmental Psychology
AGED,430,3.6514285714285712,21,Youth Development Programs
CPSC,265,3.825714285714286,21,Genetic Engineering Lab
TSM,465,2.748095238095238,21,Chemical Applications Systems
NRES,593,3.554761904761905,21,Statistical Methods in Ecology
