subject,number,avg_gpa,sum_students,title
BADM,551,3.756785714285714,56,Managing Intellectual Property
BADM,324,3.552115384615384,52,Purchasing and Supply Mgmnt
BADM,460,3.3925490196078423,51,Business Process Modeling
ACCY,561,3.549607843137255,51,Taxes and Business Strategy
ACCY,555,3.607647058823529,51,Inc Tx Acctg & Multistate Tx
BADM,521,3.824489795918367,49,Marketing Strategy
FIN,571,3.578367346938775,49,Retirement Policy
BADM,557,3.972291666666667,48,Dec Support and Knowledge Mgt
ACCY,558,3.855434782608695,46,Taxation of Closely-Held Bus.
ACCY,554,3.478478260869565,46,International Taxation
BADM,524,3.849318181818182,44,Pricing Strategy and Tactics
FIN,443,3.394772727272728,44,Legal Issues in Real Estate
ACCY,518,3.975,40,Financial Statement Fraud
ACCY,570,3.65875,40,Data Anlaytics Foundations
ACCY,571,3.66675,40,Stat Analyses for Accountancy
BADM,555,3.838285714285713,35,Info Sys Development and Mgt
FIN,422,3.716470588235294,34,Cases in Corporate Finance
BADM,365,3.8965625,32,New Product Marketing
FIN,566,3.400666666666666,30,"Market Microstructure, Trading"
FIN,490,3.815862068965517,29,Investment Management Academy
FIN,573,3.4517857142857142,28,Competition Policy
FIN,513,3.3928571428571432,28,Financial Engineering I
FIN,392,3.845357142857143,28,Investment Management Academy
FIN,431,3.505925925925925,27,Property-Liability Insurance
FIN,530,3.6170370370370373,27,Foundations in Risk Management
FIN,545,3.654615384615384,26,Real Estate Investment
FIN,536,3.538846153846153,26,Government Insurance Programs
BADM,326,3.333478260869565,23,Pricing Policies
FIN,418,3.894545454545454,22,Financial Modeling
FIN,518,3.8640909090909092,22,Financial Modeling
FIN,563,3.909090909090909,22,Investment Banking
FIN,572,3.349545454545455,22,Health Care Policy
BADM,199,3.9245454545454552,22,Bus as a Force in Am Society
FIN,579,3.619523809523809,21,Applied Portfolio Management
BADM,323,3.666666666666666,21,Marketing Communications
